latitude,longitude,elevation,slope,clay_percentage
25.0,92.5,27.0,2.862405226111748,28.0
25.0,92.505,31.0,4.044691235386269,28.0
25.0,92.51,43.0,2.9189949338347145,28.0
25.0,92.515,26.0,2.560638973149915,28.0
25.0,92.52,26.0,2.9189949338347145,28.0
25.0,92.525,31.0,3.663718325999619,28.0
25.0,92.53,39.0,4.163849943478467,28.0
25.0,92.535,44.0,0.5729386976834859,28.0
25.0,92.54,48.0,6.84277341263094,28.0
25.0,92.545,48.0,6.651732748715235,28.0
25.0,92.55,29.0,2.9189949338347145,28.0
25.0,92.555,46.0,0.5729386976834859,28.0
25.0,92.56,25.0,10.44746989776266,28.0
25.0,92.565,30.0,4.465877540190299,28.0
25.0,92.57,23.0,0.5729386976834859,28.0
25.0,92.575,27.0,1.7183580016554572,28.0
25.0,92.58,27.0,8.530765609948133,28.0
25.0,92.585,25.0,2.9189949338347145,28.0
25.0,92.59,22.0,1.1457628381751035,28.0
25.0,92.595,22.0,1.7183580016554572,28.0
25.0,92.6,30.0,1.2809591134236533,28.0
25.0,92.605,28.0,0.5729386976834859,28.0
25.0,92.61,40.0,1.2809591134236533,28.0
25.0,92.615,97.0,14.079306913753854,28.0
25.0,92.62,94.0,6.959412387152244,28.0
25.0,92.625,124.0,17.906157750459435,28.0
25.0,92.63,240.0,22.834502638149456,28.0
25.0,92.635,344.0,23.468840191747002,28.0
25.0,92.64,455.0,23.001208325803734,28.0
25.0,92.645,454.0,32.21418267031087,28.0
25.0,92.65,227.0,17.424313779662153,28.0
25.0,92.655,146.0,16.398037117968236,28.0
25.0,92.66,90.0,12.206865139615095,28.0
25.0,92.665,80.0,19.550236336404964,28.0
25.0,92.67,90.0,13.093845922704302,28.0
25.0,92.675,45.0,8.14812945516323,28.0
25.0,92.68,65.0,14.9403293424737,28.0
25.0,92.685,42.0,1.811248047327972,28.0
25.0,92.69,152.0,15.793169048263966,28.0
25.0,92.695,227.0,12.419832137022013,28.0
25.0,92.7,289.0,3.4808773532462083,28.0
25.0,92.705,200.0,23.24519815924777,28.0
25.0,92.71,234.0,21.100386082393715,28.0
25.0,92.715,149.0,27.163614006974587,28.0
25.0,92.72,167.0,25.098463901830883,28.0
25.0,92.725,121.0,25.572953701284636,28.0
25.0,92.73,34.0,2.0649342141827822,28.0
25.0,92.735,50.0,15.276593911816503,28.0
25.0,92.74,91.0,21.5273333260243,28.0
25.0,92.745,148.0,22.87490363679849,28.0
25.0,92.75,307.0,30.737526083800457,28.0
25.0,92.755,422.0,19.1434780917466,28.0
25.0,92.76,588.0,27.003740826820703,28.0
25.0,92.765,539.0,16.531754412834047,28.0
25.0,92.77,586.0,33.43690087037759,28.0
25.0,92.775,586.0,12.382549217765357,28.0
25.0,92.78,443.0,25.31271386922847,28.0
25.0,92.785,364.0,8.049466975528398,28.0
25.0,92.79,418.0,36.013825755137674,28.0
25.0,92.795,452.0,29.98014024152449,28.0
25.0,92.8,570.0,4.044691235386269,28.0
25.0,92.805,491.0,,28.0
25.0,92.81,544.0,24.22774531795417,28.0
25.0,92.815,490.0,,28.0
25.0,92.82,373.0,27.304428776436175,28.0
25.0,92.825,390.0,28.422356771016563,28.0
25.0,92.83,441.0,14.132921424385623,28.0
25.0,92.835,377.0,15.537461076489711,28.0
25.0,92.84,308.0,6.67592292471606,28.0
25.0,92.845,226.0,13.949652246979397,28.0
25.0,92.85,333.0,15.354441513180227,28.0
25.0,92.855,194.0,18.480426727831507,28.0
25.0,92.86,200.0,23.847380515387343,28.0
25.0,92.865,200.0,27.41360697987478,28.0
25.0,92.87,107.0,23.540850885728464,28.0
25.0,92.875,167.0,19.91815725240767,28.0
25.0,92.88,96.0,11.63529670109765,28.0
25.0,92.885,89.0,6.379370208442803,28.0
25.0,92.89,176.0,19.91815725240767,28.0
25.0,92.895,139.0,16.208558038649098,28.0
25.0,92.9,142.0,17.05377386638326,28.0
25.0,92.905,118.0,5.419335736411587,28.0
25.0,92.91,101.0,13.540792726885437,28.0
25.0,92.915,113.0,5.267518906840194,28.0
25.0,92.92,185.0,14.615430541128886,28.0
25.0,92.925,327.0,10.888076838622833,28.0
25.0,92.93,323.0,4.044691235386269,28.0
25.0,92.935,456.0,20.385976479920778,28.0
25.0,92.94,545.0,23.290179541000384,28.0
25.0,92.945,607.0,15.877302622696872,28.0
25.0,92.95,664.0,27.990970091758022,28.0
25.0,92.955,616.0,24.855902210900254,28.0
25.0,92.96,619.0,28.682327259935295,28.0
25.0,92.965,,,28.0
25.0,92.97,473.0,35.264389682754654,28.0
25.0,92.975,371.0,20.14701290275177,28.0
25.0,92.98,435.0,10.98810564233957,28.0
25.0,92.985,311.0,19.485618658513864,28.0
25.0,92.99,420.0,35.03590773544886,28.0
25.0,92.995,516.0,22.9668617619454,28.0
25.005,92.5,72.0,13.59687524180116,28.0
25.005,92.505,39.0,4.850090156191999,28.0
25.005,92.51,31.0,1.811248047327972,28.0
25.005,92.515,31.0,1.280959113423653,28.0
25.005,92.52,32.0,1.7183580016554572,28.0
25.005,92.525,29.0,2.0649342141827822,28.0
25.005,92.53,30.0,1.811248047327972,28.0
25.005,92.535,66.0,0.8102306720437776,28.0
25.005,92.54,48.0,5.878250113590978,28.0
25.005,92.545,63.0,1.811248047327972,28.0
25.005,92.55,36.0,2.560638973149915,28.0
25.005,92.555,55.0,3.0824947102675178,28.0
25.005,92.56,62.0,4.124518139862882,28.0
25.005,92.565,51.0,5.1742413701299474,28.0
25.005,92.57,26.0,0.8102306720437776,28.0
25.005,92.575,60.0,16.69924423399362,28.0
25.005,92.58,67.0,7.051280552921114,28.0
25.005,92.585,40.0,6.651732748715235,28.0
25.005,92.59,65.0,5.7388854270937575,28.0
25.005,92.595,31.0,0.8102306720437776,28.0
25.005,92.6,38.0,7.2977186821765665,28.0
25.005,92.605,77.0,12.604382648379184,28.0
25.005,92.61,31.0,1.280959113423653,28.0
25.005,92.615,37.0,1.7183580016554572,28.0
25.005,92.62,37.0,1.280959113423653,28.0
25.005,92.625,125.0,15.276593911816503,28.0
25.005,92.63,277.0,20.140129120020212,28.0
25.005,92.635,369.0,17.849848259878947,28.0
25.005,92.64,394.0,29.686933196903503,28.0
25.005,92.645,383.0,23.94467010289635,28.0
25.005,92.65,229.0,16.531754412834047,28.0
25.005,92.655,123.0,17.248706122708775,28.0
25.005,92.66,215.0,6.889675180467723,28.0
25.005,92.665,168.0,17.849848259878947,28.0
25.005,92.67,141.0,14.03624346792648,28.0
25.005,92.675,46.0,5.111089695288715,28.0
25.005,92.68,76.0,6.67592292471606,28.0
25.005,92.685,87.0,10.581758987862388,28.0
25.005,92.69,50.0,7.599333100622036,28.0
25.005,92.695,74.0,12.419832137022013,28.0
25.005,92.7,91.0,5.710593137499643,28.0
25.005,92.705,116.0,17.622325575320776,28.0
25.005,92.71,160.0,20.243055274274415,28.0
25.005,92.715,230.0,27.21215532549541,28.0
25.005,92.72,225.0,31.190395397802924,28.0
25.005,92.725,259.0,18.541977963997237,28.0
25.005,92.73,106.0,31.948426937823527,28.0
25.005,92.735,47.0,6.959412387152244,28.0
25.005,92.74,36.0,1.7183580016554572,28.0
25.005,92.745,90.0,12.382549217765357,28.0
25.005,92.75,171.0,21.106846658709145,28.0
25.005,92.755,208.0,9.31427931090428,28.0
25.005,92.76,330.0,24.39103005426629,28.0
25.005,92.765,358.0,19.231594954140725,28.0
25.005,92.77,429.0,14.302914425322813,28.0
25.005,92.775,348.0,16.281058441520802,28.0
25.005,92.78,532.0,15.585195857538066,28.0
25.005,92.785,535.0,15.06995574963759,28.0
25.005,92.79,615.0,11.59517961733378,28.0
25.005,92.795,661.0,9.9063692721155,28.0
25.005,92.8,659.0,34.3362505651804,28.0
25.005,92.805,737.0,7.428549707571748,28.0
25.005,92.81,760.0,15.460716851353515,28.0
25.005,92.815,790.0,31.69176119676978,28.0
25.005,92.82,517.0,31.68167996685456,28.0
25.005,92.825,614.0,36.33548650784948,28.0
25.005,92.83,625.0,27.269338050788605,28.0
25.005,92.835,455.0,16.734242254624238,28.0
25.005,92.84,413.0,24.396269761643275,28.0
25.005,92.845,402.0,26.77002786406292,28.0
25.005,92.85,292.0,16.94235714251686,28.0
25.005,92.855,234.0,22.9668617619454,28.0
25.005,92.86,140.0,7.641405059952685,28.0
25.005,92.865,167.0,20.473776079507815,28.0
25.005,92.87,148.0,28.30319610038818,28.0
25.005,92.875,152.0,14.366056176200178,28.0
25.005,92.88,246.0,10.095435505303422,28.0
25.005,92.885,167.0,22.666013397863924,28.0
25.005,92.89,102.0,15.06995574963759,28.0
25.005,92.895,185.0,17.257119157898394,28.0
25.005,92.9,182.0,10.095435505303422,28.0
25.005,92.905,224.0,9.713320968615797,28.0
25.005,92.91,96.0,17.257119157898394,28.0
25.005,92.915,91.0,2.560638973149915,28.0
25.005,92.92,111.0,5.267518906840194,28.0
25.005,92.925,175.0,20.813377245065748,28.0
25.005,92.93,299.0,6.866265885252495,28.0
25.005,92.935,379.0,2.0649342141827822,28.0
25.005,92.94,414.0,18.58031398842556,28.0
25.005,92.945,429.0,28.516255566235397,28.0
25.005,92.95,477.0,18.86838370797213,28.0
25.005,92.955,571.0,17.424313779662153,28.0
25.005,92.96,681.0,18.86838370797213,28.0
25.005,92.965,787.0,13.60805977475334,28.0
25.005,92.97,524.0,20.833118830632372,28.0
25.005,92.975,542.0,13.336644515520948,28.0
25.005,92.98,496.0,21.583791547916466,28.0
25.005,92.985,405.0,22.406871204937445,28.0
25.005,92.99,438.0,21.28025901001372,28.0
25.005,92.995,661.0,19.83405840224228,28.0
25.01,92.5,28.0,0.8102306720437776,28.0
25.01,92.505,27.0,1.1457628381751035,28.0
25.01,92.51,32.0,0.5729386976834859,28.0
25.01,92.515,35.0,2.361028198348736,28.0
25.01,92.52,42.0,7.662350300486558,28.0
25.01,92.525,57.0,6.889675180467723,28.0
25.01,92.53,53.0,3.2376881462291047,28.0
25.01,92.535,96.0,5.878250113590978,28.0
25.01,92.54,75.0,2.361028198348736,28.0
25.01,92.545,77.0,5.96026196814625,28.0
25.01,92.55,69.0,11.378567244391917,28.0
25.01,92.555,59.0,6.959412387152244,28.0
25.01,92.56,65.0,12.156145050965591,28.0
25.01,92.565,49.0,8.049466975528398,28.0
25.01,92.57,29.0,3.6188832299832416,28.0
25.01,92.575,31.0,5.878250113590978,28.0
25.01,92.58,53.0,14.738259624023955,28.0
25.01,92.585,75.0,6.504634281949115,28.0
25.01,92.59,39.0,0.8102306720437776,28.0
25.01,92.595,93.0,12.952764513375518,28.0
25.01,92.6,77.0,13.17534790222412,28.0
25.01,92.605,80.0,14.03624346792648,28.0
25.01,92.61,86.0,14.54321520062608,28.0
25.01,92.615,50.0,2.361028198348736,28.0
25.01,92.62,42.0,2.862405226111748,28.0
25.01,92.625,56.0,5.710593137499643,28.0
25.01,92.63,122.0,23.001208325803734,28.0
25.01,92.635,211.0,22.19762640166049,28.0
25.01,92.64,167.0,19.83405840224228,28.0
25.01,92.645,218.0,12.419832137022013,28.0
25.01,92.65,312.0,21.261087638361182,28.0
25.01,92.655,273.0,20.62787340377509,28.0
25.01,92.66,352.0,19.83405840224228,28.0
25.01,92.665,108.0,22.02209957077959,28.0
25.01,92.67,97.0,19.28275254686276,28.0
25.01,92.675,97.0,23.890693491223985,28.0
25.01,92.68,216.0,10.203973721731684,28.0
25.01,92.685,174.0,6.06783785083067,28.0
25.01,92.69,160.0,17.752790161946685,28.0
25.01,92.695,139.0,5.1742413701299474,28.0
25.01,92.7,131.0,24.73324165148356,28.0
25.01,92.705,116.0,20.813377245065748,28.0
25.01,92.71,133.0,15.354441513180229,28.0
25.01,92.715,113.0,16.389075025823413,28.0
25.01,92.72,133.0,20.050350541222016,28.0
25.01,92.725,173.0,12.419832137022013,28.0
25.01,92.73,82.0,11.378567244391917,28.0
25.01,92.735,57.0,15.651730558256707,28.0
25.01,92.74,42.0,0.8102306720437776,28.0
25.01,92.745,44.0,0.8102306720437776,28.0
25.01,92.75,41.0,2.9189949338347145,28.0
25.01,92.755,78.0,16.208558038649098,28.0
25.01,92.76,158.0,21.80140948635181,28.0
25.01,92.765,277.0,11.794248902093369,28.0
25.01,92.77,229.0,8.896025825607326,28.0
25.01,92.775,261.0,16.45168408046464,28.0
25.01,92.78,302.0,36.86989764584402,28.0
25.01,92.785,357.0,30.058200512399605,28.0
25.01,92.79,469.0,40.03825547284043,28.0
25.01,92.795,513.0,13.416459891104456,28.0
25.01,92.8,480.0,23.063983633676173,28.0
25.01,92.805,609.0,17.35767803462991,28.0
